id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
140503437,100082923,659,34969,126.799,996884,16861.8,0.00362604,0.482193,0,0,11444
140794328,100098235,659,34969,32.2727,1276510,4783.38,0.000922894,0.136789,0,0,11838
144134229,100084829,659,34969,0.000235721,294209,0.035608,6.74E-09,1.02E-06,0,0,12306
31331145,239,659,34751.4,0.680678,665221,78.3821,1.96E-05,0.00225551,0,0,12563
144519008,100085033,659,34969,8.54867,1194480,1336.76,0.000244464,0.0382269,0,0,12918
144519840,100085032,659,7513.2,0.0144279,140885,1.96317,1.92E-06,0.000261296,0,0,13162
140515651,100082924,659,34969,134.769,1277120,22297.8,0.00385395,0.637646,0,0,13166
140790752,100098233,659,34969,0.507426,1267330,66.9457,1.45E-05,0.00191443,0,0,13490
140741267,100098244,659,34969,12.5514,788010,1999.51,0.00035893,0.0571794,0,0,14219
144029685,100084779,659,34969,5.094,1337290,684.282,0.000145672,0.0195682,0,0,14402
144303667,100084934,659,34969,25.9903,1056940,3899.77,0.000743238,0.111521,0,0,14807
144299019,100084933,659,34969,11.635,711108,1511.18,0.000332723,0.0432149,0,0,14809
144457744,100084976,659,33342,1.44297,562305,196.857,4.33E-05,0.00590417,0,0,16370
140730399,100098242,659,34969,489.946,1528100,83448.6,0.0140109,2.38636,0,0,16426
144085775,100084826,659,34969,111.585,972330,16651.6,0.00319096,0.476181,0,0,16426
140810746,100098204,659,34969,0.786099,1009520,128.412,2.25E-05,0.00367218,0,0,17202
31984763,712,659,34969,4.4714,481097,502.526,0.000127867,0.0143706,0,0,18091
140505742,100082921,659,34963.6,216.839,1315890,34585.2,0.00620183,0.989177,0,0,18155
144449202,100084977,659,3860.16,1.35387,49798.9,181.697,0.00035073,0.0470698,0,0,18208
144291514,100084935,659,11863.8,0.114032,141318,16.2717,9.61E-06,0.00137153,0,0,18217
140514577,100082922,659,34969,230.602,1112150,36193.2,0.00659448,1.03501,0,0,19699
140728464,100098241,659,34969,629.525,1420100,102521,0.0180024,2.93175,0,0,19736
144088913,100084828,659,34969,232.881,1205360,40873.5,0.00665965,1.16885,0,0,19736
144068496,100084820,659,34969,0.729679,474245,69.8665,2.09E-05,0.00199795,0,0,20287
144065864,100084821,659,34969,3.91967,556416,467.288,0.00011209,0.0133629,0,0,20512
144088020,100084827,659,34969,716.806,1271790,128408,0.0204983,3.67206,0,0,20604
144305263,100084936,659,34969,2.17976,1006070,438.875,6.23E-05,0.0125504,0,0,20605
144298748,100084937,659,32456.8,1.67337,504772,271.751,5.16E-05,0.00837267,0,0,20606
140726082,100098240,659,34940.2,0.359145,1344580,55.6243,1.03E-05,0.00159199,0,0,21334
140730963,100098239,659,34969,3.85841,1158330,657.384,0.000110338,0.0187991,0,0,21416
144519727,100085028,659,22764.9,0.449154,737727,53.7158,1.97E-05,0.00235959,0,0,21987
144520657,100085031,659,34969,0.00680856,1298780,0.976015,1.95E-07,2.79E-05,0,0,22353
140793201,100098234,659,34969,1.0955,1117170,142.72,3.13E-05,0.00408132,0,0,57014
144091249,100084831,659,34814.8,0.00218382,372939,0.176343,6.27E-08,5.07E-06,0,0,57014
144472591,100084974,659,27184.1,0.0524791,176904,7.16094,1.93E-06,0.000263424,0,0,57249
144520388,100085030,659,32785.8,0.0420533,978937,5.81506,1.28E-06,0.000177365,0,0,71355
144002730,100084780,659,34969,4.67296,1165560,669.1,0.000133632,0.0191341,0,0,108655
144102034,100084830,659,34969,0.261741,732388,35.7725,7.48E-06,0.00102298,0,0,110877
144474765,100084973,659,34969,47.3697,908276,6468.6,0.00135462,0.184981,0,0,117148
144064549,100084708,659,34969,5.91401,979496,921.477,0.000169122,0.0263513,0,0,212647
144497558,100085029,659,19323,6.22E-06,238364,0.000753701,3.22E-10,3.90E-08,0,0,237213
144455170,100084975,659,34969,208.912,990559,31962.9,0.00597421,0.914035,0,0,243616
144472489,100084972,659,12541.3,0.0392378,336614,7.20446,3.13E-06,0.000574458,0,0,244864
144291518,100084938,659,34969,0.678694,888036,112.641,1.94E-05,0.00322116,0,0,387285
120162155,111790014,659,34969,44.3428,562566,4925.98,0.00126806,0.140867,0,0,
120172974,111791802,659,29760.4,1590.38,971587,252941,0.0534394,8.49927,0,0,
120190700,111792231,659,34692.1,1400.87,1127270,188009,0.0403802,5.41936,0,0,
120201390,111789531,659,34969,141.573,756184,16569.8,0.00404852,0.473841,0,0,
120202236,111791373,659,31497.4,33.3207,617250,3653.16,0.00105789,0.115983,0,0,
120207319,111790228,659,34969,19.9728,538541,2099.95,0.000571158,0.0600517,0,0,
120207631,111792017,659,22768.1,67.5747,467463,7433.7,0.00296796,0.326497,0,0,
121042463,111199708,659,34969,18.8225,499105,1963.62,0.000538262,0.056153,0,0,
121047137,111201406,659,34969,3583.72,1571510,636284,0.102483,18.1957,0,0,
121052198,111199324,659,34969,4.99738,490443,516.947,0.000142909,0.014783,0,0,
121052617,111201171,659,34969,3417.01,1410060,614724,0.0977155,17.5791,0,0,
162606766,77607005,659,32092,21.9948,808758,2299,0.000685366,0.0716379,0,0,